"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.081305,0.17152,0,-0.1023,1,0.0181,0.0181,0.05,0.005
-0.08193,0.17176,0,-0.1023,1,0.0182,0.0182,0.05,0.005
-0.082554,0.17201,0,-0.10229,1,0.0183,0.0183,0.05,0.005
-0.083178,0.17226,0,-0.10228,1,0.0184,0.0184,0.05,0.005
-0.083802,0.17251,0,-0.10227,1,0.0185,0.0185,0.05,0.005
-0.084426,0.17275,0,-0.10226,1,0.0186,0.0186,0.05,0.005
-0.08505,0.173,0,-0.10225,1,0.0187,0.0187,0.05,0.005
-0.085674,0.17325,0,-0.10224,1,0.0188,0.0188,0.05,0.005
-0.086298,0.1735,0,-0.10223,1,0.0189,0.0189,0.05,0.005
-0.086923,0.17374,0,-0.10222,1,0.019,0.019,0.05,0.005
-0.087547,0.17399,0,-0.10221,1,0.0191,0.0191,0.05,0.005
-0.088171,0.17424,0,-0.1022,1,0.0192,0.0192,0.05,0.005
-0.088795,0.17449,0,-0.10219,1,0.0193,0.0193,0.05,0.005
-0.089419,0.17473,0,-0.10219,1,0.0194,0.0194,0.05,0.005
-0.090043,0.17498,0,-0.10218,1,0.0195,0.0195,0.05,0.005
-0.090667,0.17523,0,-0.10217,1,0.0196,0.0196,0.05,0.005
-0.091292,0.17548,0,-0.10216,1,0.0197,0.0197,0.05,0.005
-0.091916,0.17573,0,-0.10215,1,0.0198,0.0198,0.05,0.005
-0.09254,0.17597,0,-0.10214,1,0.0199,0.0199,0.05,0.005
-0.093164,0.17622,0,-0.10213,1,0.02,0.02,0.05,0.005
-0.093751,0.17613,0,-0.10198,1,0.0201,0.0201,0.05,0.005
-0.094337,0.17604,0,-0.10184,1,0.0202,0.0202,0.05,0.005
-0.094924,0.17595,0,-0.10169,1,0.0203,0.0203,0.05,0.005
-0.095511,0.17586,0,-0.10154,1,0.0204,0.0204,0.05,0.005
-0.096097,0.17577,0,-0.1014,1,0.0205,0.0205,0.05,0.005
-0.096684,0.17568,0,-0.10125,1,0.0206,0.0206,0.05,0.005
-0.097271,0.17559,0,-0.1011,1,0.0207,0.0207,0.05,0.005
-0.097857,0.1755,0,-0.10096,1,0.0208,0.0208,0.05,0.005
-0.098444,0.1754,0,-0.10081,1,0.0209,0.0209,0.05,0.005
-0.099031,0.17531,0,-0.10066,1,0.021,0.021,0.05,0.005
-0.099617,0.17522,0,-0.10051,1,0.0211,0.0211,0.05,0.005
-0.1002,0.17513,0,-0.10037,1,0.0212,0.0212,0.05,0.005
-0.10079,0.17504,0,-0.10022,1,0.0213,0.0213,0.05,0.005
-0.10138,0.17495,0,-0.10007,1,0.0214,0.0214,0.05,0.005
-0.10196,0.17486,0,-0.099926,1,0.0215,0.0215,0.05,0.005
-0.10255,0.17477,0,-0.099779,1,0.0216,0.0216,0.05,0.005
-0.10314,0.17468,0,-0.099633,1,0.0217,0.0217,0.05,0.005
-0.10372,0.17459,0,-0.099486,1,0.0218,0.0218,0.05,0.005
-0.10431,0.1745,0,-0.099339,1,0.0219,0.0219,0.05,0.005
-0.1049,0.17441,0,-0.099192,1,0.022,0.022,0.05,0.005
-0.10548,0.17432,0,-0.099045,1,0.0221,0.0221,0.05,0.005
-0.10607,0.17423,0,-0.098898,1,0.0222,0.0222,0.05,0.005
-0.10666,0.17414,0,-0.098751,1,0.0223,0.0223,0.05,0.005
-0.10724,0.17405,0,-0.098604,1,0.0224,0.0224,0.05,0.005
-0.10783,0.17395,0,-0.098457,1,0.0225,0.0225,0.05,0.005
-0.10842,0.17386,0,-0.09831,1,0.0226,0.0226,0.05,0.005
-0.109,0.17377,0,-0.098163,1,0.0227,0.0227,0.05,0.005
-0.10959,0.17368,0,-0.098016,1,0.0228,0.0228,0.05,0.005
-0.11018,0.17359,0,-0.097869,1,0.0229,0.0229,0.05,0.005
-0.11076,0.1735,0,-0.097722,1,0.023,0.023,0.05,0.005
-0.11135,0.17341,0,-0.097575,1,0.0231,0.0231,0.05,0.005
-0.11194,0.17332,0,-0.097428,1,0.0232,0.0232,0.05,0.005
-0.11252,0.17323,0,-0.097281,1,0.0233,0.0233,0.05,0.005
-0.11311,0.17314,0,-0.097134,1,0.0234,0.0234,0.05,0.005
-0.1137,0.17305,0,-0.096987,1,0.0235,0.0235,0.05,0.005
-0.11428,0.17296,0,-0.09684,1,0.0236,0.0236,0.05,0.005
-0.11487,0.17287,0,-0.096693,1,0.0237,0.0237,0.05,0.005
-0.11546,0.17278,0,-0.096546,1,0.0238,0.0238,0.05,0.005
-0.11604,0.17269,0,-0.096399,1,0.0239,0.0239,0.05,0.005
-0.11663,0.1726,0,-0.096252,1,0.024,0.024,0.05,0.005
-0.11722,0.17251,0,-0.096105,1,0.0241,0.0241,0.05,0.005
-0.1178,0.17241,0,-0.095958,1,0.0242,0.0242,0.05,0.005
-0.11839,0.17232,0,-0.095811,1,0.0243,0.0243,0.05,0.005
-0.11898,0.17223,0,-0.095664,1,0.0244,0.0244,0.05,0.005
-0.11956,0.17214,0,-0.095518,1,0.0245,0.0245,0.05,0.005
-0.12015,0.17205,0,-0.095371,1,0.0246,0.0246,0.05,0.005
-0.12074,0.17196,0,-0.095224,1,0.0247,0.0247,0.05,0.005
-0.12132,0.17187,0,-0.095077,1,0.0248,0.0248,0.05,0.005
-0.12191,0.17178,0,-0.09493,1,0.0249,0.0249,0.05,0.005
-0.1225,0.17169,0,-0.094783,1,0.025,0.025,0.05,0.005
-0.12301,0.17133,0,-0.094527,1,0.0251,0.0251,0.05,0.005
-0.12352,0.17097,0,-0.09427,1,0.0252,0.0252,0.05,0.005
-0.12403,0.17062,0,-0.094014,1,0.0253,0.0253,0.05,0.005
-0.12454,0.17026,0,-0.093758,1,0.0254,0.0254,0.05,0.005
-0.12505,0.1699,0,-0.093502,1,0.0255,0.0255,0.05,0.005
-0.12556,0.16954,0,-0.093246,1,0.0256,0.0256,0.05,0.005
-0.12608,0.16918,0,-0.092989,1,0.0257,0.0257,0.05,0.005
-0.12659,0.16883,0,-0.092733,1,0.0258,0.0258,0.05,0.005
